,text,emotion,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
68,jalan gojek malam ngusir setan ceritain jablay blok mulut bau gegara ban,5,,,,,,,,,,
69,bawabawa kakak kakak gojek bawabawa tanah abang deh ah,4,,,,,,,,,,
70,tanda uji psikologi abnormal,5,,,,,,,,,,
71,ambil uji semester matematika dapat rabu kelas benarbenar kelas rendah,5,,,,,,,,,,
72,rena semenjak endorse pwj ama ldh gojek naikin tarif v,2,,,,,,,,,,
73,gojek terminal bungurasih titik temu halte gudang garam drivernya suruh,3,,,,,,,,,,
74,ohh doi supir gojek,5,,,,,,,,,,
75,temantemanku sikap kasar gadis,5,,,,,,,,,,
76,voucher gopay juta rupiah kah malam nelpon aku gojek kasih vouch,5,,,,,,,,,,
77,saudara ipar pacar temu kamar tidur pakai celana sebar,5,,,,,,,,,,
78,genjot gojek online manja drivernya bayar dgn uang ya bayar sprt,3,,,,,,,,,,
79,orang tua nilai buruk sekolah ayah bicara guru untung pengaruh orang tua buat mudah,1,,,,,,,,,,
80,tunggu gojek,2,,,,,,,,,,
81,gojek kak,0,,,,,,,,,,
82,dokter junior tidur,4,,,,,,,,,,
83,kilas info mincelalm sopiih rekan rekan jawat driver online gojek ruang jenazah rs,3,,,,,,,,,,
84,goblok lu ngampus jam otw siang trik lu ngampus pakai kaos item serasa gojek neraka panas,2,,,,,,,,,,
85,barang mahal mah pakai gojek ato ojolngerii,5,,,,,,,,,,
86,siih peka babang gojek,0,,,,,,,,,,
87,gojek,0,,,,,,,,,,
88,pergi mobil temu mobil dekat salip,1,,,,,,,,,,
89,hai kak kendala alami mohon hubung driver gojek yaa,1,,,,,,,,,,
90,gagal sederhana,5,,,,,,,,,,
91,pinggir gagu gua bangapalagi bintaromending traktir lu ayam penyet drpd ngebid masuk,3,,,,,,,,,,
92,serang langgeng gigi,2,,,,,,,,,,
93,pergi pesta halloween jalan pusat belanja pakai sihir,5,,,,,,,,,,
94,malam natal selesai uji takut hasil salah mata kuliah utama muas pikir milik peluang gagal ulang suka subjek hasil buruk malas paksa ubah anak umur,1,,,,,,,,,,
95,guru utang emak kasbon ayah rangin dapat gojek biaya uang,0,,,,,,,,,,
96,gojek sd prameks duduk manis akademisi kampus tanya kzl,2,,,,,,,,,,
97,tolong retry pick besok pagi gojek,2,,,,,,,,,,
98,kecewa marah kualitas buruk program documentay tv topik program serius timbang,2,,,,,,,,,,
99,lt bodoh hqq mun oddie mun adam part sekian mun adam milik voucher gocar k kema,2,,,,,,,,,,
100,adik jalan operasi rumit lihat taruh,1,,,,,,,,,,
101,power babang gojek wkwkw,4,,,,,,,,,,
102,pas renti lampu merah bapa gojek naroh sikut dengkul akua gugup gaes,5,,,,,,,,,,
103,orang milik stock foto kaya sekali foto bagus dikit langsung post instagram ganti dp whatsapp line,4,,,,,,,,,,
104,hahahaa ah sayang energi pagi ngomel nikmatin efek lelah hihihii,4,,,,,,,,,,
105,teman lewat duduk pangku anak lakilaki coba sapa bantu merah,5,,,,,,,,,,
106,rinciannya lapar afrika timur,4,,,,,,,,,,
107,mas gojek nge style gin nunggu dah wk,0,,,,,,,,,,
108,bangun malam takut orang tidur pergi kamar,1,,,,,,,,,,
109,konser lelaki tua tari nyanyi halhal konyol,5,,,,,,,,,,
110,et gojek gin mahal ya,2,,,,,,,,,,
111,admin rekpon dipake gojek terima transfer bank cimbniaga,3,,,,,,,,,,
112,brib ni barusa ane bc malam selep,1,,,,,,,,,,
113,jalan gelap jalan aneh,1,,,,,,,,,,
114,oke bye bye gojek mizkin,3,,,,,,,,,,
115,lazada abang gojek salah pilih lawan tipu,3,,,,,,,,,,
116,mohon maaf hapus akun gojek,2,,,,,,,,,,
117,mabuk terobos masuk kamar teman lari jauh dari lihat tangan arah,1,,,,,,,,,,
118,siswa sengaja taat pimpin kelas,4,,,,,,,,,,
119,pin buat kevlar,2,,,,,,,,,,
120,bangun mimpi buruk malam gelap orang,1,,,,,,,,,,
121,kang kring kring gojek speda,0,,,,,,,,,,
122,laper ken sedii tu sen gojek kasi abg gojek nya jaaauuh beet ngantar asa suriah,3,,,,,,,,,,
123,kak ngasih driver uang lebih set,5,,,,,,,,,,
124,tonton film dokumenter tv clubbing seal,4,,,,,,,,,,
125,takut telat gojek,3,,,,,,,,,,
126,lalala gojek taun kerja dgn gojek moga taun moga hahah,0,,,,,,,,,,
127,gojek tunggu,4,,,,,,,,,,
128,guru nilai rendah hak harap,4,,,,,,,,,,
129,terbang athena kopenhagen libur pesawat perangkap badai guncang jatuh,1,,,,,,,,,,
130,maluin banget gara hujan turun gojek kepleset jatuh stasiun hadeeh,3,,,,,,,,,,
131,terima kasih gojek dikmblkn sisa uang ambil supir taksi saran sebaikny ks sm bluebird,1,,,,,,,,,,
132,jalan lewat hutan lebat ular jarak meter,1,,,,,,,,,,
133,oh iya gojek sentuh badan dikit pikir sia pakai selubung biar,5,,,,,,,,,,
134,mampir rumah korwil gojek buru duren mantep euy duren nya manis legit ya,0,,,,,,,,,,
135,rumah ayah hancur curi milik senjata,1,,,,,,,,,,
136,kali belai gadis usia belas umur delapan belas perhati pengaruh,5,,,,,,,,,,
137,asli dah nih nyariin adek gojek pagi tuh emosi dicancel mulu adek manja bergantu,2,,,,,,,,,,
138,jalan kampus malam ekor tupai lompat,1,,,,,,,,,,
139,kiro begal,5,,,,,,,,,,
140,driver gojek bawa kabur iphone sayahatihati waspadagojek susah,5,,,,,,,,,,
141,langsung kasih bintang sis biar kena suspend kena suspend da,2,,,,,,,,,,
142,tinggal suruh gojek,0,,,,,,,,,,
143,ngalihin produk poing gojek mahal ya diskon,5,,,,,,,,,,
144,pulang rumah mabuk hari pesta malu orang tua,5,,,,,,,,,,
145,kucing lari mobil pulang rumah luka jalan berani pergi dokter hewan takut bunuh,1,,,,,,,,,,
146,sesat florence latih muncul malam milik pergi lapor aneh kantor polisi,1,,,,,,,,,,
147,astagaa gojek ni ganti sih display nya,5,,,,,,,,,,
148,abang gojek tuh kesel ya tumpang dilewatin jalan iyaiya,2,,,,,,,,,,
149,pakai tuyul gpsnya nyangkut aplikasi gojek driver kadang stu,4,,,,,,,,,,
150,pulsa gratis drivergojek,0,,,,,,,,,,
151,sistem rating abang gojek kecewa tingkat muas album baik,2,,,,,,,,,,
152,ujung thread wajib deh ya ngasih pesan wish gojek kedepannyagampang,0,,,,,,,,,,
153,temu ratus orang putus bicara tribun gambar,5,,,,,,,,,,
154,jemput gojek gopay potong mohon info terima kasih,3,,,,,,,,,,
155,sepeda sinar matahari musim semi buat senang bahagia sehat uang bumi,0,,,,,,,,,,
156,pergok masturbasi,5,,,,,,,,,,
157,liga gojek traveloka gaboleh si,3,,,,,,,,,,
158,layan costumer service pasti nya buruk withdraw uang masuk k,4,,,,,,,,,,
159,baik tengkyuu gojek,1,,,,,,,,,,
160,diberitahu pilih hadir latih asisten medis,0,,,,,,,,,,
161,milik bendabenda pribadi atur ulang orang tuju atur sesuai selera coba cari objek susun jam,2,,,,,,,,,,
162,pergi sekolah desa temu ekor singa jalan tibatiba hilang,1,,,,,,,,,,
163,bantai ekor ayam saudara lakilaki libur tiada orang buka toko makan makan organ internal ayam temu panggil temu tangan noda sup malu tua keluarga,5,,,,,,,,,,
164,okay liat inget gojek nyebutin kerja ffffffff,4,,,,,,,,,,
165,aniaya orang,2,,,,,,,,,,
166,bertahuntahun jalan sekolah tepi jalan hutan temu pamer,1,,,,,,,,,,
167,gosendgrabsend mahal gojekgrabbikekan bawa barang enteng bawa orang,5,,,,,,,,,,
168,bibi telepon tolak undang makan malam rumah malam,5,,,,,,,,,,
169,abis fel mampang bkasi nang gojek berat ongkos gosong huhuhu,3,,,,,,,,,,
170,gojek shopeenya enak ya nyender,0,,,,,,,,,,
171,iki tumpang gojek bijimana naik ya mikirkeras,1,,,,,,,,,,
172,ayah wanita nikah,4,,,,,,,,,,
173,liat video apip bom ngeng ngeng combo sm gojek,5,,,,,,,,,,
174,gua herman eh segambreng ya,2,,,,,,,,,,
175,nyambi gojek loo,2,,,,,,,,,,
176,tunggu harga gojek turun,3,,,,,,,,,,
177,temanteman main tangkap anak lakilaki orang tua pulang larut takut marah orang tua,1,,,,,,,,,,
178,campur asal kolom,4,,,,,,,,,,
179,trem bayar orang tangkap kontrol malu marah,5,,,,,,,,,,
180,iyee nambahnya k mantepb,0,,,,,,,,,,
181,dasar kang gojek suka ngisi tts,5,,,,,,,,,,
182,lha benteng kraton museum muter ketemu pas pulang,3,,,,,,,,,,
183,ngumpulin point gojek k kiamat delu,2,,,,,,,,,,
184,gojek drakula epd,4,,,,,,,,,,
185,rolet rusia tv film buru rusa,1,,,,,,,,,,
186,kali ngobrol gojek sampe rumah gatau mood bagus buka obrol,0,,,,,,,,,,
187,pacar janji ajak tonton tanding tenis dering pergi pub teman ganti,2,,,,,,,,,,
188,nomer telepon laku tipu gojek kedok hadiah uang tolong bantu jadi ccicpolri,1,,,,,,,,,,
189,mitra gojek gratis masker penutupkepala,0,,,,,,,,,,
190,pas riri pulang ngampus riri telepon nomor kenal riri heran hp riri pencet sen gojek ya u,3,,,,,,,,,,
191,pergi ruang makan temu juru masak bersih piring makan burungburung biru jaga aman sibuk makan makan,2,,,,,,,,,,
192,admin driver gojek suka tunda paket antar tulis day beda,2,,,,,,,,,,
193,emosional stabil halhal sakit orang bahagia tenang sadar egois timbang asa orang malu perilaku,5,,,,,,,,,,
194,pulang uji lulus lari restoran minum bir,0,,,,,,,,,,
195,rumah malam,1,,,,,,,,,,
196,gojek helm kasihin minyak nyongnyong pusing nyiumnya,4,,,,,,,,,,
197,ciawww abang,0,,,,,,,,,,
198,bersih papan ering wastafel tinggal asrama siswa,4,,,,,,,,,,
199,tidur kali rumah tinggal pria telepon jam pagi dari takut,1,,,,,,,,,,
200,teman hadir temu janji jemput muncul marah,2,,,,,,,,,,
201,dek antar siapagojek bangkok cium tanganbayar ongkos anjir salam,0,,,,,,,,,,
202,eleuh eleuh baju savenkri banget gojek ikut foto ya kaya,0,,,,,,,,,,
203,mandi bilik perancis temu anak longok bilik belah,5,,,,,,,,,,
204,driver gojek wajib baca modus tipu terhadapdriver,3,,,,,,,,,,
205,tibatiba pikir wonder woman gojek duduk nya nyamping ya,0,,,,,,,,,,
206,milik hubung intim pacar sayang milik seksual tipu malu teman,5,,,,,,,,,,
207,urus gadis cinta beres positif,0,,,,,,,,,,
208,jual paket ngebul paket murah vapor training sampe puas gojek,5,,,,,,,,,,
209,order gojek ya admin rusak gin,2,,,,,,,,,,
210,dear pagi jam sja isi saldo gopay bank mandiri rbtetapi jam,3,,,,,,,,,,
211,gua salim abang gojek,4,,,,,,,,,,
212,nih gojek map nya ngaco yak peta driver pick lokasi banget pas telepon orgny,4,,,,,,,,,,
213,coba ya nder km buka mamikost cari budgetnya mahal kalo ngegojek jatu,2,,,,,,,,,,
214,astra gojek wewww great collab,5,,,,,,,,,,
215,met sore admin maunnya knapa aplikasi gojek mesan ya,3,,,,,,,,,,
216,bakso aci ganteng saharjo ngantri bangetudah susah parkir jalan penuhkalo beli gojek enak,2,,,,,,,,,,
217,servis kampus pakai acara mogok gakmau slah dorong gojek kampus yaampun,2,,,,,,,,,,
218,jam piro numpak gojek ae turu kostku haha,3,,,,,,,,,,
219,pimpin kelas baca namanama pilih kuliah bahasa inggris daftar,5,,,,,,,,,,
220,cakap gojek goqq,5,,,,,,,,,,
221,admin batas bulan tukar poin gojek besuk nya nukar,3,,,,,,,,,,
222,tolong support amp doa ya rekan usaha putri tunang pisang bandung p,0,,,,,,,,,,
223,mauuuu hhh gapernah dapet voicher gojek,3,,,,,,,,,,
224,video pangeran rangkak bak mandi,4,,,,,,,,,,
225,admin driver nakal gin lohcustomer sih rugi uang pakai cash tingga,2,,,,,,,,,,
226,telepon mati coba telepon kali diam heran sms nya,4,,,,,,,,,,
227,nal orang tua pacar kali bicara bahasa limburg dialek belanda salah komentar suka dialek limburg,5,,,,,,,,,,
228,duduk asrama orangorang lisan baca surat penthouse,4,,,,,,,,,,
229,admin daftar mitra daerah purwokerto kantor gojek tutup,0,,,,,,,,,,
230,duduk kursi bus orang cacat anakanak orang tua salah,5,,,,,,,,,,
231,diberitahu hadap orang sentuh benda milik,5,,,,,,,,,,
232,mahasiswa asing main musik keras larut malam,4,,,,,,,,,,
233,sudahnyampe gerbang refleks salim mas gojek laper,5,,,,,,,,,,
234,teman tumpang temu blok jalan coba balik tugas teriak henti teman tibatiba ubah tugas angkat senjata pergi,1,,,,,,,,,,
235,seram demo sopir taksi warna aksi lempar batu gojek,1,,,,,,,,,,
236,jalan desa malam orang ekor anjing gonggong ikut lari anjinganjing gonggong rumah,1,,,,,,,,,,
237,joging hutan area taman pusat pria sembunyi pohon frigthened balik lari hutan,1,,,,,,,,,,
238,terima driver grab gojek batas bagus kota ngetem sembarang menu,2,,,,,,,,,,
239,coba lulus uji laku buruk malu,5,,,,,,,,,,
240,lazada pas stock nya sampe menit udahlah emang lazada kirim,0,,,,,,,,,,
241,line mmm yah nandan mobil mogok gojek ajaaaac jehejehd,0,,,,,,,,,,
242,tonton tv tunjuk prince popidol jijik kuda jantan,4,,,,,,,,,,
243,ya app wa twitter sm gojek gabisa pindah external storage samsung pelit internal storage ben,2,,,,,,,,,,
244,pergi delhi bombay mes kursi telegram konfirmasi kereta api nama hilang lembar reservasi kursi kosong bagi orang bayar kursi izin tinggal kompartemen sedia bayar uang,2,,,,,,,,,,
245,gojek tokopedia bukalapak temu bei bahas target dana ipo,3,,,,,,,,,,
246,rampok libur,1,,,,,,,,,,
247,jatuh tanah seberang jalan topi tutup mata sulit,5,,,,,,,,,,
248,kek gojek na,0,,,,,,,,,,
249,episode takut ajar diri temanteman kenal bicara tangan getar merah lidah ikat,1,,,,,,,,,,
250,pacar temu halhal malu sebut,5,,,,,,,,,,
251,diakesasarnya tuh gegara nyamperin abang gojek mana yo gamau abangny,0,,,,,,,,,,
252,musim panas kemah temanteman rancang urai rencana menakutnakuti tempat kemah keliling binatang buas salah satu bumi kemah rumah organisasi setan,1,,,,,,,,,,
253,oo ya bang tukang nan dpn sd,5,,,,,,,,,,
254,ular duga,1,,,,,,,,,,
255,nenek tinggal sedih tinggal tua hidup rumah orang tua milik apaapa milik kursi pribadi ruang pergi unjung duduk ruang lliving ruang tv harap canggung pergi sedih,3,,,,,,,,,,
256,survei dengan enggan kenal jijik pikir proyek sesal gabung proyek,4,,,,,,,,,,
257,milik jg mind order masuk poin masuk poin,3,,,,,,,,,,
258,jijik orang kurang martabat coba temu duduk trem,4,,,,,,,,,,
259,alami celaka mobil salah malu milik roh kemudi,5,,,,,,,,,,
260,konflik orang tua ganggu studi,1,,,,,,,,,,
261,alhamdulillah ngerasain level pacar alias ama babang gojek terossss wkwkw,0,,,,,,,,,,
262,sepupu taruh cuci cuci ide konyol lelucon,4,,,,,,,,,,
263,pikir ajar informasi salah siswa,3,,,,,,,,,,
264,bawa belanja diri ular,1,,,,,,,,,,
265,earlier todayme puji tuhan macetbabang gojek iya alhamdulillah mins laterme puji tuhan nyampebaba,0,,,,,,,,,,
266,jijik mabuk tidur orang asing,4,,,,,,,,,,
267,ok saran tolong baik sistem gojek data guna terima sms,2,,,,,,,,,,
268,cepet gojek ih selagi tutup,0,,,,,,,,,,
269,teman kamar acau kamar,4,,,,,,,,,,
270,wasap abang gojek pas abis ujan ujanan bilang maaf ya gaada jas hujan aja,5,,,,,,,,,,
271,chadea titik jemput customer driver gojek,0,,,,,,,,,,
272,dorong teman tibatiba banting setir gelincir malam jalan sisi jalan,1,,,,,,,,,,
273,dosa anger dosa amoralitas seksual,4,,,,,,,,,,
274,rasa salin kerja rumah salah kelas,5,,,,,,,,,,
275,mahal asuransi ya gojek cover ya,3,,,,,,,,,,
276,pakai gps jalan gojek jemput kantor mana susah,3,,,,,,,,,,
277,rame ojol ngerusakin mobil kmrn grab gojek tag jg grabnya biar adil bos,3,,,,,,,,,,
278,keren aplikasi gojek,0,,,,,,,,,,
279,kampret gojek mahal,2,,,,,,,,,,
280,sponsor gojek traveloka dit,5,,,,,,,,,,
281,malam natal pergi rumah teman kelas teman kelas esok pagi toilet erti celana temu lupa pasang gegas toilet tebak,5,,,,,,,,,,
282,pulang pagipagi pergi hutan,1,,,,,,,,,,
283,ok gua tuju admin gojek jenis ojek,2,,,,,,,,,,
284,pagi gojekbarusan telepon ngaku gojekkemudian langsung tutup datan,5,,,,,,,,,,
285,orang egois egois,4,,,,,,,,,,
286,pergi turnamen tinju jam pagi jalan pulang dengar gonggong anjinganjing hewanhewan malam suara langkah kaki desasdesus edar hantu daerah,1,,,,,,,,,,
287,btw pagi mas gojek jemput stasiun poncol mantan kaget,5,,,,,,,,,,
288,halo admin ya tokopedia gojek tanggal pick pick barang,0,,,,,,,,,,
289,hahhhhhhh gojek maksud juanda ekalos ribu pdhl surge pricing harga,5,,,,,,,,,,
290,ban mobil ledak,1,,,,,,,,,,
291,gojek care mitranyaadakah kaya gojek,0,,,,,,,,,,
292,maret jam siang jalan jaya rt rw krukut taman sari order via gojekgrab tele,5,,,,,,,,,,
293,rush hour pusat macet cepet order uber motor drpd gojek,2,,,,,,,,,,
294,tinggal kamar malam baca cerita horor,1,,,,,,,,,,
295,iya eh mesen gojek manggarai tuh susah nyari drivernya,2,,,,,,,,,,
296,tuduh hamil putri sepupu gadis laku,4,,,,,,,,,,
297,gojek rumah sakitabang gojek neng kerja ngerawat orang sakit yague hah,5,,,,,,,,,,
298,tetep gojek traveloka ta admin mugo arema iso ngalahno dangdut hak e hak e,3,,,,,,,,,,
299,admin tuker points dgn voucher gofood rp pts pilih kateg,3,,,,,,,,,,
300,muda teman coba bedah ekor katak main rumah,4,,,,,,,,,,
301,uber drivernya ajar berkalikali pakai ub,2,,,,,,,,,,
302,ngakak rl njiir humor wkwkwduduk pegang abang gojek nya jalan,4,,,,,,,,,,
303,duuh nyokap tipu gojek tipu slama liat dramaojol beneran yak,2,,,,,,,,,,
304,hebat banget pencet order gojek,5,,,,,,,,,,
305,pergi tonton film pergi teman benarbenar takut henti pikir dunia takut malam,1,,,,,,,,,,
306,pantengin hesteknya ai mo sen gojek,3,,,,,,,,,,
307,menang showjumping brookfield show kompetisi kaku balap laga,0,,,,,,,,,,
308,lelaki mabuk serang istri malu hina ubah kasar pukul anak biar patah buruk saksi adegan coba tenang pria hasil kuat patuh benci,4,,,,,,,,,,
309,berat perilaku kolega katakatanya tanggung temu candu alkohol usaha lawan candu,5,,,,,,,,,,
310,pagi aplikasi gojek driver errorpembayaran gopay masukpoint,4,,,,,,,,,,
311,ujan badai gin tuh galau cari makan rem gojek kasi abang makan gemeteran,3,,,,,,,,,,
312,uji logika,1,,,,,,,,,,
313,coba lagipada jam masuk tanggal kir,0,,,,,,,,,,
314,ayah marah pria hadap temanteman,5,,,,,,,,,,
315,tahan kandung kemih panggil telepon basah,5,,,,,,,,,,
316,tonton wanita candu alkohol dekat orang dermaga rokok lacur auckland lansia,4,,,,,,,,,,
317,hai aisah jatibening sejajar cam tol jam renti total gerak,2,,,,,,,,,,
318,curi,5,,,,,,,,,,
319,sampe abang gojek nya main twitter bahaya deh,4,,,,,,,,,,
320,china menang medali emas olimpiade asia,5,,,,,,,,,,
321,malu subjek hadap pasien,5,,,,,,,,,,
322,sesat kota new york malam jumat malam teman,1,,,,,,,,,,
323,catfish cowok ya ktp si jahat korban selfie pegang ktp,3,,,,,,,,,,
324,pergi malam,1,,,,,,,,,,
325,takut rampok masuk rumah ancam tembak ayah pisah uang pria tangan pelatuk,1,,,,,,,,,,
326,teman biar pribadi publik,5,,,,,,,,,,
327,hasil buruk salah tugas,5,,,,,,,,,,
328,pakai helm jaket gojek bohong,2,,,,,,,,,,
329,jalan periksa kerabat tinggal kota unjung jijik,4,,,,,,,,,,
330,pacar nikah,0,,,,,,,,,,
331,iih jijik nuajis ketemu model banci poleng bayar gojek,4,,,,,,,,,,
332,pergi kepala ragu kerja peduli tinggal bicara,2,,,,,,,,,,
333,bingung promo gojek kalo rush hour surcharge walhasi,5,,,,,,,,,,
334,pacar hilang sabar alas timbang hormat asa,4,,,,,,,,,,
335,iya emang gojek kapitalis,2,,,,,,,,,,
336,buang ingus meper abang gojek,4,,,,,,,,,,
337,saat gopay tipis pakai gojek gin nih bikin ngarep biar pancing kredit gopay,3,,,,,,,,,,
338,curi catat k guru tanggung curi,4,,,,,,,,,,
339,halhal keri tenang sakit hati jijik,2,,,,,,,,,,
340,halo gojekindonesia lapor mitra laku beliau,1,,,,,,,,,,
341,edisi kangen kasur rumah gojek gojekkalong gojekracing gojekmidnite gojekmidnight,3,,,,,,,,,,
342,semalem ampera bangka pas banget br kelar jadi motor banyaks bro warung sampe,5,,,,,,,,,,
343,serbu masuk ruang harap tenang musik lembut kaset radio bandku kaley muda bibi jual beli pakai,4,,,,,,,,,,
344,bongkar rahasia sistem ratinggojek,0,,,,,,,,,,
345,dapet duit bang,0,,,,,,,,,,
346,oh ya kendara pakai gpsnya smartphone bikin atur lucu pakai mobil,2,,,,,,,,,,
347,hello gojek teman panggil gojek goride bu,3,,,,,,,,,,
348,industri fintech regulasi relatif batas keep maju teknologi,3,,,,,,,,,,
349,bentur mobil,1,,,,,,,,,,
350,syarat daftar bpjsgojek,0,,,,,,,,,,
351,kamp anak lakilaki perempuan kabin orang paksa gadis hubung seksual gadis tidur bawah berpurapura tidur sakit,4,,,,,,,,,,
352,woiii bm richeese tuh grab gojek doang gopay ada,2,,,,,,,,,,
353,malam pergi sepeda lewat graz jarak kilometer mobil ikut lewat jalanjalan pergi jalan arah mobil lenyap sisa jalan pulang takut,1,,,,,,,,,,
354,baca buku fantasi seksual wanita baca wanita hubung seksual anjing,4,,,,,,,,,,
355,hhh tuh mo pulang cepet jajan burger laper batal mesti go,2,,,,,,,,,,
356,gagal uji,5,,,,,,,,,,
357,gojek oke,0,,,,,,,,,,
358,info hapus akun gojek admin,3,,,,,,,,,,
359,mimpi buruk mimpi isap darah coba kucur tubuh manamana lem isap panik,4,,,,,,,,,,
360,males besok bdgkt jam kereta sambung krl gidig gojek kuliah,4,,,,,,,,,,
361,way ceonya gopay kerja bantuin pkk arisan arisan panci dsbnya manfaat,5,,,,,,,,,,
